,uncertainty_noise,trial,whether,how,sufficient,moving,unique
229,1.2,19,0.91,1.0,0.07,1.0,0
230,1.2,20,0.388,1.0,0.421,1.0,1
231,1.2,21,1.0,1.0,1.0,0.0,1
232,1.2,22,0.0,0.0,0.0,1.0,0
233,1.2,23,0.0,0.0,0.0,1.0,0
234,1.2,24,1.0,1.0,0.422,1.0,0
235,1.2,25,1.0,0.0,0.0,1.0,0
236,1.2,26,0.906,1.0,0.092,1.0,1
237,1.2,27,0.753,1.0,0.753,0.0,1
238,1.2,28,0.168,1.0,0.173,1.0,1
239,1.2,29,0.0,0.0,0.0,1.0,0
240,1.3,0,0.0,0.0,0.0,1.0,0
241,1.3,1,0.352,0.0,1.0,1.0,0
242,1.3,2,0.0,1.0,0.0,1.0,1
243,1.3,3,0.504,1.0,0.0,1.0,1
244,1.3,4,0.122,1.0,0.147,1.0,1
245,1.3,5,0.0,1.0,1.0,1.0,1
246,1.3,6,0.0,1.0,0.997,1.0,0
247,1.3,7,0.178,0.0,1.0,1.0,0
248,1.3,8,0.557,1.0,0.0,1.0,0
249,1.3,9,0.72,1.0,0.734,1.0,1
250,1.3,10,0.874,1.0,0.077,1.0,0
251,1.3,11,0.983,1.0,0.01,1.0,0
252,1.3,12,1.0,1.0,1.0,1.0,1
253,1.3,13,1.0,1.0,1.0,1.0,0
254,1.3,14,0.991,1.0,0.993,0.0,1
255,1.3,15,0.985,1.0,0.986,1.0,1
256,1.3,16,1.0,1.0,0.0,1.0,1
257,1.3,17,0.405,1.0,0.076,0.0,0
258,1.3,18,1.0,0.0,1.0,1.0,0
259,1.3,19,0.895,1.0,0.107,1.0,0
260,1.3,20,0.436,1.0,0.394,1.0,1
261,1.3,21,1.0,1.0,1.0,0.0,1
262,1.3,22,0.0,0.0,0.0,1.0,0
263,1.3,23,0.0,0.0,0.0,1.0,0
264,1.3,24,1.0,1.0,0.401,1.0,0
265,1.3,25,1.0,0.0,0.0,1.0,0
266,1.3,26,0.908,1.0,0.108,1.0,1
267,1.3,27,0.739,1.0,0.741,0.0,1
268,1.3,28,0.211,1.0,0.227,1.0,1
269,1.3,29,0.0,0.0,0.0,1.0,0
270,1.4,0,0.0,0.0,0.0,1.0,0
271,1.4,1,0.342,0.0,1.0,1.0,0
272,1.4,2,0.0,1.0,0.0,1.0,1
273,1.4,3,0.524,1.0,0.0,1.0,1
274,1.4,4,0.194,1.0,0.171,1.0,1
275,1.4,5,0.0,1.0,1.0,1.0,1
276,1.4,6,0.002,1.0,0.991,1.0,0
277,1.4,7,0.174,0.0,1.0,1.0,0
278,1.4,8,0.584,1.0,0.0,1.0,0
279,1.4,9,0.735,1.0,0.717,1.0,1
280,1.4,10,0.857,1.0,0.078,1.0,0
281,1.4,11,0.983,1.0,0.016,1.0,0
282,1.4,12,1.0,1.0,1.0,1.0,1
283,1.4,13,1.0,1.0,1.0,1.0,0
284,1.4,14,0.986,1.0,0.989,0.0,1
285,1.4,15,0.971,1.0,0.973,1.0,1
286,1.4,16,1.0,1.0,0.0,1.0,1
287,1.4,17,0.406,1.0,0.088,0.0,0
288,1.4,18,1.0,0.0,1.0,1.0,0
289,1.4,19,0.854,1.0,0.113,1.0,0
290,1.4,20,0.445,1.0,0.46,1.0,1
291,1.4,21,1.0,1.0,1.0,0.0,1
292,1.4,22,0.0,0.0,0.0,1.0,0
293,1.4,23,0.0,0.0,0.0,1.0,0
294,1.4,24,1.0,1.0,0.426,1.0,0
295,1.4,25,1.0,0.0,0.0,1.0,0
296,1.4,26,0.888,1.0,0.111,1.0,1
297,1.4,27,0.711,1.0,0.701,0.0,1
298,1.4,28,0.232,1.0,0.263,1.0,1
299,1.4,29,0.0,0.0,0.0,1.0,0
300,1.5,0,0.0,0.0,0.0,1.0,0
301,1.5,1,0.365,0.0,1.0,1.0,0
302,1.5,2,0.0,1.0,0.0,1.0,1
303,1.5,3,0.546,1.0,0.0,1.0,1
304,1.5,4,0.218,1.0,0.223,1.0,1
305,1.5,5,0.0,1.0,1.0,1.0,1
306,1.5,6,0.002,1.0,0.991,1.0,0
307,1.5,7,0.205,0.0,1.0,1.0,0
308,1.5,8,0.579,1.0,0.0,1.0,0
309,1.5,9,0.7,1.0,0.697,1.0,1
310,1.5,10,0.869,1.0,0.071,1.0,0
311,1.5,11,0.971,1.0,0.022,1.0,0
312,1.5,12,1.0,1.0,1.0,1.0,1
313,1.5,13,1.0,1.0,1.0,1.0,0
314,1.5,14,0.984,1.0,0.98,0.0,1
315,1.5,15,0.976,1.0,0.969,1.0,1
316,1.5,16,1.0,1.0,0.0,1.0,1
317,1.5,17,0.43,1.0,0.094,0.0,0
318,1.5,18,1.0,0.0,1.0,1.0,0
319,1.5,19,0.847,1.0,0.118,1.0,0
320,1.5,20,0.482,1.0,0.491,1.0,1
321,1.5,21,1.0,1.0,1.0,0.0,1
322,1.5,22,0.0,0.0,0.0,1.0,0
323,1.5,23,0.0,0.0,0.0,1.0,0
324,1.5,24,1.0,1.0,0.435,1.0,0
325,1.5,25,1.0,0.0,0.0,1.0,0
326,1.5,26,0.857,1.0,0.115,1.0,1
327,1.5,27,0.673,1.0,0.682,0.0,1
328,1.5,28,0.283,1.0,0.28,1.0,1
329,1.5,29,0.0,0.0,0.0,1.0,0
330,1.6,0,0.0,0.0,0.0,1.0,0
331,1.6,1,0.389,0.0,1.0,1.0,0
332,1.6,2,0.0,1.0,0.0,1.0,1
333,1.6,3,0.569,1.0,0.0,1.0,1
334,1.6,4,0.263,1.0,0.256,1.0,1
335,1.6,5,0.0,1.0,1.0,1.0,1
336,1.6,6,0.008,1.0,0.976,1.0,0
337,1.6,7,0.227,0.0,1.0,1.0,0
338,1.6,8,0.56,1.0,0.0,1.0,0
339,1.6,9,0.688,1.0,0.683,1.0,1
340,1.6,10,0.848,1.0,0.079,1.0,0
341,1.6,11,0.971,1.0,0.027,1.0,0
342,1.6,12,1.0,1.0,1.0,1.0,1
343,1.6,13,1.0,1.0,1.0,1.0,0
344,1.6,14,0.982,1.0,0.967,0.0,1
345,1.6,15,0.96,1.0,0.965,1.0,1
346,1.6,16,1.0,1.0,0.0,1.0,1
347,1.6,17,0.435,1.0,0.113,0.0,0
348,1.6,18,1.0,0.0,1.0,1.0,0
349,1.6,19,0.818,1.0,0.135,1.0,0
350,1.6,20,0.506,1.0,0.518,1.0,1
351,1.6,21,1.0,1.0,1.0,0.0,1
352,1.6,22,0.0,0.0,0.0,1.0,0
353,1.6,23,0.0,0.0,0.0,1.0,0
354,1.6,24,1.0,1.0,0.445,1.0,0
355,1.6,25,1.0,0.0,0.0,1.0,0
356,1.6,26,0.838,1.0,0.142,1.0,1
357,1.6,27,0.713,1.0,0.676,0.0,1
358,1.6,28,0.323,1.0,0.323,1.0,1
359,1.6,29,0.0,0.0,0.0,1.0,0
