,split,model,caused_version,enabled_version,affected_version,model_params,trial,verb,model_pred,data_val,use
66,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",20,enabled,0.1497189664136539,0.06451612903225806,train
67,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",13,enabled,0.3929416767916171,0.1935483870967742,test
68,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",20,affected,0.2755839874313207,0.5806451612903226,train
69,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",13,affected,0.2950829571550348,0.20967741935483872,test
70,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",20,didn't affect,0.1784666629473,0.1774193548387097,train
71,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",13,didn't affect,0.0,0.016129032258064516,test
72,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",21,caused,0.31197536605334814,0.24193548387096775,train
73,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",15,caused,0.6018241362109937,0.6612903225806451,test
74,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",21,enabled,0.3929416767916171,0.4838709677419355,train
75,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",15,enabled,0.22740428663458243,0.14516129032258066,test
76,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",21,affected,0.2950829571550348,0.24193548387096775,train
77,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",15,affected,0.17077139035227878,0.1935483870967742,test
78,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",21,didn't affect,0.0,0.03225806451612903,train
79,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",15,didn't affect,1.868021451310854e-07,0.0,test
80,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",22,caused,0.0,0.0,train
81,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",16,caused,0.6018243514074547,0.7419354838709677,test
82,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",22,enabled,0.0,0.016129032258064516,train
83,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",16,enabled,0.22740436794836622,0.11290322580645161,test
84,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",22,affected,0.0,0.0,train
85,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",16,affected,0.170771280644179,0.12903225806451613,test
86,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",22,didn't affect,1.0,0.9838709677419355,train
87,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",16,didn't affect,0.0,0.016129032258064516,test
88,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",23,caused,0.0,0.016129032258064516,train
89,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",18,caused,0.0,0.04838709677419355,test
90,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",23,enabled,0.0,0.016129032258064516,train
91,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",18,enabled,0.5711157092408483,0.8870967741935484,test
92,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",23,affected,0.0,0.0,train
93,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",18,affected,0.42888429075915174,0.03225806451612903,test
94,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",23,didn't affect,1.0,0.967741935483871,train
95,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",18,didn't affect,0.0,0.03225806451612903,test
96,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",24,caused,0.31197536605334814,0.1774193548387097,train
