participant,trial,response
13,24,affect
13,25,enable
13,26,affect
13,27,affect
13,28,affect
13,29,no_difference
13,30,no_difference
14,0,no_difference
14,1,enable
14,2,no_difference
14,3,cause
14,4,no_difference
14,5,cause
14,6,affect
14,7,enable
14,8,affect
14,9,cause
14,10,cause
14,11,enable
14,12,cause
14,13,cause
14,14,enable
14,15,cause
14,16,cause
14,17,affect
14,18,enable
14,19,cause
14,20,no_difference
14,21,enable
14,22,no_difference
14,23,no_difference
14,24,cause
14,25,enable
14,26,cause
14,27,enable
14,28,affect
14,29,no_difference
14,30,no_difference
15,0,no_difference
15,1,enable
15,2,affect
15,3,affect
15,4,no_difference
15,5,cause
15,6,affect
15,7,enable
15,8,cause
15,9,cause
15,10,affect
15,11,enable
15,12,cause
15,13,cause
15,14,enable
15,15,affect
15,16,cause
15,17,enable
15,18,enable
15,19,enable
15,20,affect
15,21,cause
15,22,no_difference
15,23,no_difference
15,24,affect
15,25,enable
15,26,affect
15,27,affect
15,28,affect
15,29,no_difference
15,30,no_difference
16,0,no_difference
16,1,enable
16,2,affect
16,3,enable
16,4,no_difference
16,5,cause
16,6,cause
16,7,no_difference
16,8,cause
16,9,enable
16,10,enable
16,11,affect
16,12,cause
16,13,enable
16,14,enable
16,15,cause
16,16,affect
16,17,no_difference
16,18,enable
16,19,affect
16,20,affect
16,21,no_difference
16,22,no_difference
16,23,no_difference
16,24,affect
16,25,no_difference
16,26,affect
16,27,affect
16,28,no_difference
16,29,no_difference
16,30,no_difference
17,0,no_difference
17,1,enable
17,2,no_difference
17,3,cause
17,4,no_difference
17,5,cause
17,6,affect
17,7,enable
17,8,cause
17,9,cause
17,10,no_difference
17,11,enable
17,12,cause
17,13,enable
17,14,enable
17,15,cause
17,16,cause
17,17,affect
17,18,enable
17,19,enable
17,20,no_difference
17,21,enable
17,22,no_difference
17,23,no_difference
17,24,affect
17,25,enable
17,26,cause
17,27,affect
17,28,no_difference
17,29,no_difference
17,30,no_difference
18,0,no_difference
18,1,cause
18,2,cause
18,3,enable
18,4,enable
18,5,affect
18,6,enable
18,7,affect
18,8,enable
18,9,enable
18,10,affect
18,11,cause
18,12,enable
18,13,cause
18,14,cause
18,15,affect
18,16,affect
18,17,no_difference
18,18,cause
18,19,cause
18,20,enable
18,21,no_difference
18,22,no_difference
18,23,no_difference
18,24,cause
18,25,affect
18,26,affect
18,27,no_difference
18,28,cause
18,29,no_difference
18,30,no_difference
19,0,no_difference
19,1,enable
19,2,cause
19,3,cause
19,4,affect
19,5,cause
19,6,cause
19,7,enable
19,8,affect
19,9,cause
19,10,affect
19,11,affect
19,12,cause
19,13,cause
19,14,affect
19,15,affect
19,16,cause
19,17,enable
19,18,enable
19,19,affect
19,20,affect
19,21,affect
19,22,no_difference
19,23,no_difference
19,24,affect
19,25,enable
19,26,affect
19,27,enable
19,28,cause
19,29,no_difference
19,30,no_difference
20,0,no_difference
20,1,enable
20,2,no_difference
20,3,cause
20,4,no_difference
20,5,cause
20,6,cause
20,7,enable
20,8,no_difference
20,9,cause
20,10,affect
20,11,affect
20,12,cause
20,13,affect
20,14,affect
20,15,cause
20,16,cause
20,17,enable
20,18,enable
20,19,enable
20,20,enable
20,21,enable
20,22,no_difference
20,23,no_difference
20,24,cause
20,25,enable
20,26,affect
20,27,enable
20,28,no_difference
20,29,no_difference
20,30,no_difference
21,0,no_difference
21,1,enable
21,2,affect
21,3,affect
21,4,affect
21,5,cause
21,6,affect
21,7,enable
21,8,affect
21,9,cause
21,10,affect
21,11,cause
21,12,cause
21,13,cause
21,14,cause
21,15,cause
21,16,cause
21,17,affect
21,18,enable
21,19,cause
21,20,cause
21,21,affect
21,22,no_difference
21,23,no_difference
21,24,affect
21,25,enable
21,26,cause
21,27,cause
21,28,cause
21,29,no_difference
21,30,no_difference
22,0,no_difference
22,1,enable
22,2,no_difference
22,3,cause
22,4,affect
22,5,cause
22,6,affect
22,7,enable
22,8,enable
22,9,cause
22,10,affect
22,11,enable
22,12,cause
22,13,cause
22,14,enable
22,15,cause
22,16,cause
22,17,affect
22,18,enable
22,19,enable
22,20,cause
22,21,affect
22,22,no_difference
22,23,no_difference
22,24,enable
22,25,enable
22,26,cause
22,27,affect
22,28,affect
22,29,no_difference
22,30,no_difference
23,0,no_difference
23,1,enable
23,2,no_difference
23,3,affect
23,4,no_difference
23,5,cause
23,6,affect
23,7,enable
23,8,affect
23,9,affect
23,10,affect
23,11,cause
23,12,cause
23,13,cause
23,14,affect
23,15,affect
23,16,cause
23,17,enable
23,18,enable
23,19,enable
23,20,affect
23,21,enable
23,22,no_difference
23,23,no_difference
23,24,cause
23,25,enable
23,26,affect
23,27,enable
23,28,affect
23,29,no_difference
23,30,no_difference
24,0,no_difference
24,1,enable
24,2,affect
24,3,affect
24,4,no_difference
24,5,cause
24,6,enable
24,7,enable
24,8,cause
24,9,enable
24,10,enable
24,11,enable
24,12,cause
24,13,enable
24,14,affect
24,15,enable
24,16,cause
24,17,affect
24,18,enable
24,19,no_difference
24,20,affect
24,21,cause
24,22,no_difference
24,23,no_difference
24,24,enable
24,25,enable
24,26,cause
24,27,enable
24,28,affect
24,29,no_difference
24,30,no_difference
25,0,no_difference
25,1,enable
25,2,no_difference
25,3,affect
25,4,no_difference
25,5,cause
25,6,affect
25,7,enable
25,8,cause
25,9,affect
25,10,affect
25,11,affect
25,12,cause
25,13,enable
25,14,enable
25,15,cause
25,16,affect
25,17,affect
25,18,enable
25,19,affect
25,20,no_difference
25,21,affect
25,22,no_difference
25,23,no_difference
25,24,affect
25,25,enable
25,26,affect
25,27,affect
25,28,no_difference
25,29,no_difference
25,30,no_difference
26,0,no_difference
26,1,affect
26,2,no_difference
26,3,cause
26,4,affect
26,5,cause
26,6,affect
26,7,enable
26,8,affect
26,9,affect
26,10,affect
26,11,affect
26,12,cause
26,13,cause
26,14,enable
26,15,affect
26,16,enable
26,17,affect
26,18,enable
26,19,affect
26,20,affect
26,21,affect
26,22,no_difference
26,23,no_difference
26,24,enable
26,25,affect
26,26,enable
26,27,enable
26,28,no_difference
26,29,no_difference
26,30,no_difference
27,0,no_difference
27,1,affect
27,2,cause
