"","trial","response","data_ymin","data_ymax","data_y"
"70",17,"affect",0.548387096774194,0.774193548387097,0.661290322580645
"71",17,"enable",0.0806451612903226,0.274193548387097,0.17741935483871
"72",17,"cause",0.0161290322580645,0.129032258064516,0.0645161290322581
"73",18,"no_difference",0,0.0806451612903226,0.032258064516129
"74",18,"affect",0,0.0806451612903226,0.032258064516129
"75",18,"enable",0.806451612903226,0.967741935483871,0.887096774193548
"76",18,"cause",0,0.112903225806452,0.0483870967741935
"77",19,"no_difference",0.032258064516129,0.17741935483871,0.0967741935483871
"78",19,"affect",0.241935483870968,0.483870967741935,0.354838709677419
"79",19,"enable",0.17741935483871,0.403225806451613,0.290322580645161
"80",19,"cause",0.145161290322581,0.370967741935484,0.258064516129032
"81",20,"no_difference",0.0806451612903226,0.274193548387097,0.17741935483871
"82",20,"affect",0.467741935483871,0.693548387096774,0.580645161290323
"83",20,"enable",0.0161290322580645,0.129032258064516,0.0645161290322581
"84",20,"cause",0.0967741935483871,0.274193548387097,0.17741935483871
"85",21,"no_difference",0,0.0806451612903226,0.032258064516129
"86",21,"affect",0.145161290322581,0.354838709677419,0.241935483870968
"87",21,"enable",0.370967741935484,0.597177419354838,0.483870967741935
"88",21,"cause",0.145161290322581,0.339112903225806,0.241935483870968
"89",22,"no_difference",0.951612903225806,1,0.983870967741935
"90",22,"affect",0,0,0
"91",22,"enable",0,0.0483870967741935,0.0161290322580645
"92",22,"cause",0,0,0
"93",23,"no_difference",0.919354838709677,1,0.967741935483871
"94",23,"affect",0,0,0
"95",23,"enable",0,0.0483870967741935,0.0161290322580645
"96",23,"cause",0,0.0483870967741935,0.0161290322580645
"97",24,"no_difference",0,0.0967741935483871,0.032258064516129
"98",24,"affect",0.387096774193548,0.612903225806452,0.5
"99",24,"enable",0.193548387096774,0.419354838709677,0.290322580645161
"100",24,"cause",0.0967741935483871,0.274193548387097,0.17741935483871
"101",25,"no_difference",0.0806451612903226,0.258064516129032,0.161290322580645
"102",25,"affect",0,0.112903225806452,0.0483870967741935
"103",25,"enable",0.67741935483871,0.870967741935484,0.774193548387097
"104",25,"cause",0,0.0483870967741935,0.0161290322580645
"105",26,"no_difference",0,0,0
"106",26,"affect",0.338709677419355,0.580645161290323,0.467741935483871
"107",26,"enable",0.0483870967741935,0.193548387096774,0.112903225806452
"108",26,"cause",0.306451612903226,0.532258064516129,0.419354838709677
"109",27,"no_difference",0.0161290322580645,0.161290322580645,0.0806451612903226
"110",27,"affect",0.241935483870968,0.467741935483871,0.354838709677419
"111",27,"enable",0.241935483870968,0.467741935483871,0.354838709677419
"112",27,"cause",0.112903225806452,0.32258064516129,0.209677419354839
"113",28,"no_difference",0.258064516129032,0.516129032258065,0.387096774193548
"114",28,"affect",0.387096774193548,0.629032258064516,0.5
"115",28,"enable",0,0,0
"116",28,"cause",0.032258064516129,0.193548387096774,0.112903225806452
"117",29,"no_difference",0.951612903225806,1,0.983870967741935
"118",29,"affect",0,0,0
"119",29,"enable",0,0,0
"120",29,"cause",0,0.0483870967741935,0.0161290322580645
